English Language Name,Code
Slavic (Other),sla
Slovak,slo
Slovenian,slv
Southern Sami,sma
Northern Sami,sme
Sami languages (Other),smi
Lule Sami,smj
Inari Sami,smn
Samoan,smo
Skolt Sami,sms
Shona,sna
Sindhi,snd
Soninke,snk
Sogdian,sog
Somali,som
Songhai languages,son
"Sotho, Southern",sot
Spanish; Castilian,spa
Sardinian,srd
Sranan Tongo,srn
Serer,srr
Nilo-Saharan (Other),ssa
Swati,ssw
Sukuma,suk
Sundanese,sun
Susu,sus
Sumerian,sux
Swahili,swa
Swedish,swe
Syriac,syr
Tahitian,tah
Tai (Other),tai
Tamil,tam
Tatar,tat
Telugu,tel
Timne,tem
Tereno,ter
Tetum,tet
Tajik,tgk
Tagalog,tgl
Thai,tha
Tibetan,tib
Tigre,tig
Tigrinya,tir
Tiv,tiv
Tokelau,tkl
Klingon; tlhIngan-Hol,tlh
Tlingit,tli
Tamashek,tmh
Tonga (Nyasa),tog
Tonga (Tonga Islands),ton
Tok Pisin,tpi
Tsimshian,tsi
Tswana,tsn
Tsonga,tso
Turkmen,tuk
Tumbuka,tum
Tupi languages,tup
Turkish,tur
Altaic (Other),tut
Tuvalu,tvl
Twi,twi
Tuvinian,tyv
Udmurt,udm
Ugaritic,uga
Uighur; Uyghur,uig
Ukrainian,ukr
Umbundu,umb
Undetermined,und
Urdu,urd
Uzbek,uzb
Vai,vai
Venda,ven
Vietnamese,vie
Volapük,vol
Votic,vot
Wakashan languages,wak
Walamo,wal
Waray,war
Washo,was
Welsh,wel
Sorbian languages,wen
Walloon,wln
Wolof,wol
Kalmyk; Oirat,xal
Xhosa,xho
Yao,yao
Yapese,yap
Yiddish,yid
Yoruba,yor
Yupik languages,ypk
Zapotec,zap
Zenaga,zen
Zhuang; Chuang,zha
Zande languages,znd
Zulu,zul
Zuni,zun
No linguistic content,zxx
N'Ko,nqo
Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,zza
